location_city,location_name,location_street_address,location_street_address_2,location_state,location_zip_code,region,logged_at
Clearlake,Clear Lake - Big O Tires,15195 Lakeshore Dr,,CA,95422,YAS,2017-11-29 21:31:15
Annandale,Pep Boys - Annandale,7121 Little River Turnpike,,VA,22003,DCA,2017-11-29 21:31:13
Tucson,Pep Boys Tucson - E 22nd St,7227 E 22nd St,,AZ,85710,TUS,2017-11-29 21:31:25
Goleta,Jiffy Lube - Goleta,6015 Hollister Ave,,CA,93117,SBA,2017-11-29 21:31:26
Arbuckle,Arbuckle - Arbuckle Service Center,401 Olive St,,CA,95912,SMF,2017-11-29 21:31:26
San Jose,Eastridge Center,2200 Eastridge Loop,,CA,95122,SJC,2017-11-29 21:31:26
Hanford,Pep Boys - Hanford,1840 W Lacey Blvd,,CA,93230,FAT,2017-11-29 21:31:28
St. Petersburg,Victory Automotive Service,3001 Dr. MLK Jr St N,,FL,33704,TPA,2017-11-29 21:31:18
Fresno,Jiffy Lube (N Blackstone Ave) - Fresno,3896 N Blackstone Ave,,CA,93726,FAT,2017-05-11 00:03:33
Yuma,Pep Boys Yuma,155 E 32nd St,,AZ,85364,YUM,2017-11-29 21:31:11
Waldorf,Pep Boys - Waldorf,3390 Crain Hwy,,MD,20603,BWI,2017-11-29 21:31:20
Mesa,Pep Boys - Mesa,1233 S Country Club Dr,,AZ,85210,PHX,2017-11-29 21:31:21
Chico,Pep Boys Chico,1555 Mangrove Ave,,CA,95926,ACV,2017-11-29 21:31:15
Huntsville,AAMCO Huntsville - Putnam Dr,1007 Putnam Drive,,AL,35816,HSV,2017-11-29 21:31:08
San Jose,Lyft Tent in Parking Lot Behind South Bay Church,1188 Murphy Avenue,,CA,95131,SJC,2017-11-29 21:31:11
Omaha,AAMCO Transmissions & Total Car Care,5254 S. 133rd Court,,NE,68137,OMA,2017-11-29 21:31:32
Tucson,Pep Boys Tucson - W Ina Rd.,4275 W Ina Rd,,AZ,85741,TUS,2017-07-25 20:15:49
Stockton,Jiffy Lube (E Hammer Ln),1648 E Hammer Ln,,CA,95210,SCK,2017-05-10 22:13:18
Minneapolis,Bobby & Steve's - South Minneapolis $35 (NO LYFT REP.),5801 Nicollet Ave. S.,,MN,55419,MSP,2017-10-20 14:31:04
San Diego,Pep Boys - Normal Heights,3550 El Cajon Blvd,,CA,92104,SAN,2017-10-20 18:11:22
Santa Cruz,Mission Auto Care,823 Mission Street,,CA,95060,CRZ,2016-12-09 02:24:36
Tampa,Pep Boys - North Florida Avenue,10124 N Florida Ave,,FL,33612,TPA,2016-12-02 22:14:00
San Jose,Parking lot behind South Bay Church,1188 Murphy Avenue,,CA,95131,SJC,2016-10-24 17:32:19
Eastpointe,Pep Boys,24600 Gratiot Ave,,MI,48021,DTW,2017-12-04 22:04:54
Pinellas Park,Pep Boys - Park Blvd,6492 Park Blvd,,FL,33781,TPA,2017-11-29 21:31:11
Ann Arbor,Free Inspection at Washtenaw Community College- Gunder Myran Building,4800 E. Huron River Drive,,MI,48105,ARB,2017-11-29 21:31:28
Grand Junction,Jeff's Automotive Service & Repair,490 28 1/4 Rd,,CO,81501,GJT,2017-11-29 21:31:08
Clovis,Pep Boys - Clovis,693 W Shaw Ave,,CA,93612,FAT,2017-11-29 21:31:13
Kettleman City,Midway Auto Repair - Kettleman,27627 Bernard Dr,,CA,93239,BFL,2017-11-29 21:31:27
Los Angeles,Pep Boys - Pico Blvd,10644 W Pico Blvd,,CA,90064,LAX,2017-11-29 21:31:31
Lexington,AAMCO Lexington - N Lake Dr,520 North Lake Drive,,SC,29072,CAE,2017-11-29 21:31:23
HILTON HEAD,National Tire & Battery Hilton Head - Beach City Rd,144 BEACH CITY RD,,SC,29926,CHS,2017-11-29 21:31:23
Cicero,Pep Boys - Cicero,2501 S Cicero Ave,,IL,60804,CHI,2017-11-29 21:31:28
LEXINGTON,National Tire & Battery Lexington - S Lake Dr,1810 SOUTH LAKE DR,,SC,29073,CAE,2017-11-29 21:31:27
FLINT,TECHNET Flint - Shelton's Service Center,921 UNIVERSITY AVE,,MI,48504,FNT,2017-11-29 21:31:27
Tuscaloosa,AAMCO Tuscaloosa - McFarland Blvd,3017 McFarland Boulevard E,,AL,35401,TCL,2017-11-29 21:31:14
Hodgkins,Pep Boys - Hodgkins,6247 South La Grange Road,,IL,60525,CHI,2017-11-29 21:31:35
Duluth,Allstar Service,Miller Hill Mall 1600 Miller Trunk Hwy,,MN,55811,DLH,2017-11-29 21:31:08
Fresno,Fresno - Pep Boys (Blackstone),3655 N Blackstone Ave,,CA,93726,FAT,2017-11-29 21:31:27
Apple Valley,Midas Apple Valley (no Lyft rep. present),15455 South Cedar Avenue,,MN,55124,MSP,2017-08-24 16:13:05
Chicago,Pep Boys Elston (new),2604 N Elston Avenue,,IL,60647,CHI,2017-08-17 20:26:53
Charleston,Pep Boys Charleston,1550 Savannah Hwy,,SC,29407,CHS,2016-12-15 18:17:58
