location_city,location_name,location_street_address,location_street_address_2,location_state,location_zip_code,region,logged_at
Rohnert Park,Big O Tires - Rohnert Park,5979 Commerce Blvd,,CA,94928,STS,2017-11-29 21:31:31
Lexington,National Tire & Battery Lexington - Sunset Blvd,5450 SUNSET BOULEVARD,,SC,29072,CAE,2017-11-29 21:31:32
Healdsburg,Big O Tires - Healdsburg,1115 Healdsburg Ave,,CA,95448,STS,2017-11-29 21:31:26
Broadview,Pep Boys - Broadview,900 Broadview Village Square,,IL,60155,CHI,2017-11-29 21:31:36
FOUNTAIN HILLS,Discount Tire - Fountain Hills,16745 E SHEA BLVD,,AZ,85268,PHX,2017-11-29 21:31:18
Minneapolis,Bobby & Steve's - South Minneapolis (NO LYFT REP.),5801 Nicollet Ave. S.,,MN,55419,MSP,2017-09-13 17:09:30
Crystal Lake,Pep Boys - Crystal Lake,4423 US-14,,IL,60014,CHI,2017-11-29 21:31:30
Coral Springs,Xpress Auto Service And Tires,10820 Wiles Road,,FL,33076,MIA,2017-11-29 21:31:13
El Dorado,Quality Lube,1106 N West Ave,,AR,71730,LIT,2017-11-29 21:31:30
Niles,Pep Boys - Niles,9643 N Milwaukee Ave,,IL,60714,CHI,2017-11-29 21:31:34
Los Angeles,Pep Boys - San Fernando Rd,3332 N San Fernando Rd,,CA,90065,LAX,2017-11-29 21:31:29
Lodi,Jiffy Lube - Lodi,500 E Kettleman Ln,,CA,95240,SCK,2017-11-29 21:31:21
Denver,Courtyard by Marriott Cherry Creek,1475 S. Colorado Blvd,,CO,80222,DEN,2017-11-29 21:31:16
Santa Maria,Jiffy Lube - Santa Maria,1860 S Broadway,,CA,93454,SBP,2017-11-29 21:31:27
Marysville,Jiffy Lube - Marysville,229 E St,,CA,95901,YAS,2017-11-29 21:31:10
Surprise,Discount Tire - Surprise,16131 W Bell Rd,,AZ,85374,PHX,2017-11-29 21:31:19
Chandler,Lyft Phoenix Express Drive - APPOINTMENT ONLY,2900 W Geronimo Pl,,AZ,85224,PHX,2017-11-29 21:31:22
Tuba City,Cal's Auto Body & Repair Shop,345 U 160,,AZ,86045,NAZ,2017-11-29 21:31:26
Union,Pep Boys - Union,2525 RT 22 WEST,,NJ,7083,NYC,2017-01-26 23:22:08
Las Cruces,Pep Boys - Las Cruces,1203 E Lohman Ave,,NM,88001,LRU,2017-06-27 00:45:18
San Luis Obispo,Big Brand Tires,3577 S Higuera S,,CA,93401,SBP,2017-01-10 21:27:26
Englewood,Metro Express Car Wash ( Look for Lyft Sign),4095 S Santa Fe Dr.,,CO,80110,DEN,2017-10-13 17:17:26
Long Beach,Pep Boys -- Long Beach,4645 Pacific Coast Hwy,,CA,90804,LAX,2017-11-29 21:31:32
Santa Rosa,Big O Tires - Santa Rosa,872 4th St,,CA,95404,STS,2017-11-29 21:31:23
Fairfax,Kena Shriners - Fairfax,9001 Arlington Blvd,,VA,22031,DCA,2017-11-29 21:31:16
Arlington,Lyft DC Hub,2011 Crystal Drive,,VA,22202,DCA,2017-11-29 21:31:20
Kalamazoo,Belle Tire Kalamazoo,6780 W Main Street,,MI,49009,AZO,2017-11-29 21:31:31
Tallahassee,Pep Boys - West Tennessee St,1425 West Tennessee St,,FL,32304,TLH,2017-11-29 21:31:12
Citrus Heights,Citrus Heights - Firestone (Sunrise Mall Rd),6102 Sunrise Mall Rd,,CA,95610,SMF,2017-11-29 21:31:26
Traverse City,D&W Auto Repair,2853 M-37,,MI,49685,TVC,2017-11-29 21:31:26
Modesto,Firestone - Modesto,3230 Dale Rd,,CA,95356,MOD,2017-11-29 21:31:21
Colorado Springs,TECHNET Colorado Springs - Foreman's Auto Repair,2446 East Platte,,CO,80909,COS,2017-11-29 21:31:24
Tracy,Meineke - Tracy,326 W Grant Line Rd,,CA,95376,MOD,2017-11-29 21:31:30
Birmingham,AAMCO Birmingham - Center Point Rd,1251 Center Point Road,,AL,35215,BHM,2017-11-29 21:31:13
